Customer_ID,Recency,Frequency,Monetary
CUST00001,1214,1,196.59
CUST00002,1001,1,406.27
CUST00003,937,1,585.6
CUST00004,920,1,152.52
CUST00005,1053,1,439.04
CUST00006,442,1,250.37
CUST00007,993,1,65.36
CUST00008,1639,1,191.79
CUST00009,781,1,954.17
CUST00010,1165,1,320.84
CUST00011,1514,1,383.12
CUST00012,676,1,852.44
CUST00013,773,1,797.67
CUST00014,1661,1,840.2
CUST00015,1783,1,219.44
CUST00016,1555,1,847.54
CUST00017,1602,1,588.19
CUST00018,849,1,804.94
CUST00019,967,1,681.02
CUST00020,1281,1,757.32
CUST00021,1359,1,79.08
CUST00022,868,1,458.57
CUST00023,825,1,197.56
CUST00024,1037,1,769.78
CUST00025,1666,1,642.73
CUST00026,631,1,801.74
CUST00027,1770,1,605.7
CUST00028,1446,1,785.2
CUST00029,401,1,96.11
CUST00030,1574,1,704.67
CUST00031,951,1,29.45
CUST00032,680,1,80.69
CUST00033,1667,1,622.33
CUST00034,1428,1,531.84
CUST00035,778,1,428.45
CUST00036,1390,1,74.73
CUST00037,1118,1,924.79
CUST00038,1275,1,419.13
CUST00039,479,1,134.11
CUST00040,1113,1,862.76
CUST00041,1307,1,194.05
CUST00042,401,1,769.8
CUST00043,627,1,873.09
CUST00044,1211,1,392.89
CUST00045,715,1,223.93
CUST00046,1534,1,407.82
CUST00047,1788,1,11.39
CUST00048,863,1,485.22
CUST00049,1696,1,329.64
CUST00050,379,1,564.32
CUST00051,1777,1,959.05
CUST00052,948,1,425.87
CUST00053,432,1,616.82
CUST00054,926,1,328.53
CUST00055,1598,1,285.78
CUST00056,1657,1,567.38
CUST00057,1194,1,19.88
CUST00058,1287,1,685.92
CUST00059,1417,1,214.91
CUST00060,1391,1,766.78
CUST00061,1650,1,343.86
CUST00062,1543,1,13.75
CUST00063,1240,1,920.85
CUST00064,496,1,169.93
CUST00065,721,1,865.49
CUST00066,869,1,29.61
CUST00067,1314,1,930.72
CUST00068,1295,1,991.29
CUST00069,1047,1,954.37
CUST00070,1761,1,430.36
CUST00071,376,1,900.92
CUST00072,1496,1,743.16
CUST00073,1474,1,396.14
CUST00074,525,1,465.31
CUST00075,475,1,763.28
CUST00076,1467,1,119.62
CUST00077,694,1,733.36
CUST00078,1586,1,64.77
CUST00079,1182,1,114.62
CUST00080,1601,1,50.53
CUST00081,543,1,349.43
CUST00082,470,1,951.25
CUST00083,528,1,714.96
CUST00084,1572,1,373
CUST00085,1806,1,917.7
CUST00086,1535,1,210.13
CUST00087,1704,1,910.25
CUST00088,1080,1,751.05
CUST00089,847,1,504.88
CUST00090,401,1,941.38
CUST00091,1220,1,60.25
CUST00092,951,1,564.24
CUST00093,762,1,286.51
CUST00094,1177,1,863.42
CUST00095,945,1,292.3
CUST00096,1188,1,208.74
CUST00097,1816,1,287.05
CUST00098,1471,1,38.85
CUST00099,1491,1,428.39
CUST00100,1031,1,438.9
CUST00101,1793,1,150.46
CUST00102,729,1,354.13
CUST00103,1249,1,27.65
CUST00104,672,1,887.04
CUST00105,1378,1,167.93
CUST00106,1455,1,840.63
CUST00107,494,1,201.6
CUST00108,1604,1,796.86
CUST00109,1117,1,106.86
CUST00110,799,1,869.44
CUST00111,1470,1,695.35
CUST00112,1791,1,800.09
CUST00113,1559,1,683.75
CUST00114,881,1,449.99
CUST00115,914,1,658.92
CUST00116,1441,1,545.76
CUST00117,889,1,850.78
CUST00118,881,1,351.56
CUST00119,1060,1,652.82
CUST00120,1800,1,922.38
CUST00121,1265,1,332.18
CUST00122,474,1,677.02
CUST00123,1398,1,567.26
CUST00124,1151,1,715.02
CUST00125,838,1,848.62
CUST00126,495,1,953.92
CUST00127,1239,1,583.28
CUST00128,1149,1,212.26
CUST00129,1275,1,378.17
CUST00130,1206,1,148.12
CUST00131,832,1,884.81
CUST00132,1802,1,479.37
CUST00133,1370,1,727.94
CUST00134,741,1,753.55
CUST00135,1117,1,696.92
CUST00136,1357,1,874.32
CUST00137,1810,1,461.46
CUST00138,1317,1,670.72
CUST00139,1401,1,511
CUST00140,1285,1,526.35
CUST00141,1355,1,729.93
CUST00142,960,1,283.71
CUST00143,969,1,680.13
CUST00144,1049,1,407.21
CUST00145,1656,1,297.69
CUST00146,1407,1,75.25
CUST00147,421,1,74.4
CUST00148,964,1,935.09
CUST00149,796,1,550.13
CUST00150,434,1,410.86
CUST00151,712,1,611.96
CUST00152,700,1,386.37
CUST00153,1677,1,662.81
CUST00154,401,1,614.99
CUST00155,998,1,888.42
CUST00156,1377,1,879.96
CUST00157,1662,1,338.99
CUST00158,1266,1,715.41
CUST00159,1078,1,189.59
CUST00160,381,1,958.46
CUST00161,366,1,616.87
CUST00162,1196,1,395.62
CUST00163,769,1,675.37
CUST00164,797,1,177.63
CUST00165,1637,1,659.08
CUST00166,1654,1,128.39
CUST00167,806,1,732.85
CUST00168,1399,1,685.09
CUST00169,1616,1,711.66
CUST00170,1493,1,615.79
CUST00171,1790,1,555.85
CUST00172,1014,1,977.8
CUST00173,1417,1,11.99
CUST00174,1260,1,172.65
CUST00175,1457,1,50.39
CUST00176,1672,1,219.07
CUST00177,399,1,531.95
CUST00178,1476,1,222.83
CUST00179,1822,1,664.91
CUST00180,832,1,406.29
CUST00181,1227,1,87.47
CUST00182,1362,1,129.73
CUST00183,876,1,15.41
CUST00184,667,1,690.11
CUST00185,1402,1,455.43
CUST00186,512,1,309.76
CUST00187,400,1,72.16
CUST00188,1617,1,487.99
CUST00189,1367,1,129.03
CUST00190,380,1,886.86
CUST00191,458,1,914.56
CUST00192,721,1,215.18
CUST00194,1270,1,960.62
CUST00195,843,1,670.01
CUST00196,864,1,373.66
CUST00197,1097,1,915.32
CUST00198,494,1,368.6
CUST00199,732,1,770
CUST00200,859,1,808.21
CUST00201,1703,1,731.01
CUST00202,1401,1,305.45
CUST00203,973,1,35.68
CUST00204,1598,1,914.43
CUST00205,1774,1,933.73
CUST00207,1007,1,711.42
CUST00208,1696,1,751.65
CUST00209,1744,1,364.35
CUST00210,999,1,625.66
CUST00211,580,1,725.04
CUST00212,1635,1,46.34
CUST00213,1774,1,246.63
CUST00214,383,1,648.71
CUST00215,545,1,430.36
CUST00216,1661,1,434.2
CUST00217,964,1,424.31
CUST00218,926,1,429.59
CUST00219,782,1,35.71
CUST00220,1148,1,303.28
CUST00221,1643,1,812.69
CUST00222,967,1,58.85
CUST00223,1474,1,153.95
CUST00224,1217,1,882.22
CUST00225,1130,1,211.9
CUST00226,502,1,212.69
CUST00227,1282,1,509.26
CUST00228,1391,1,636.72
CUST00229,1703,1,569.2
CUST00230,592,1,548.78
CUST00231,473,1,445.99
CUST00232,979,1,397.26
CUST00233,556,1,579.9
CUST00234,497,1,605.32
CUST00235,1247,1,71.53
CUST00236,770,1,294.24
CUST00237,975,1,299.99
CUST00238,1338,1,117.61
CUST00239,543,1,802.62
CUST00240,1473,1,537.44
CUST00241,867,1,253.64
CUST00242,973,1,170.62
CUST00243,1263,1,484.58
CUST00244,768,1,160.59
CUST00245,1703,1,310.7
CUST00246,1192,1,613.38
CUST00247,876,1,700.04
CUST00248,808,1,987.85
CUST00249,377,1,811.73
CUST00250,1710,1,421.02
CUST00251,1586,1,943.27
CUST00252,474,1,686.14
CUST00253,1703,1,847.33
CUST00254,924,1,709.26
CUST00255,1169,1,909.3
CUST00256,1177,1,888.82
CUST00257,1081,1,300.89
CUST00258,864,1,765.55
CUST00259,1766,1,167.79
CUST00260,1269,1,273.9
CUST00261,1791,1,893.27
CUST00262,731,1,185.87
CUST00263,608,1,484.88
CUST00264,1074,1,498.04
CUST00265,444,1,972.9
CUST00266,1703,1,46.91
CUST00267,1660,1,106.52
CUST00268,703,1,543.77
CUST00269,946,1,76.49
CUST00270,1220,1,682.39
CUST00271,1231,1,199.63
CUST00272,1571,1,389.03
CUST00273,1389,1,954.35
CUST00274,642,1,879.33
CUST00275,1606,1,589.9
CUST00276,658,1,559.22
CUST00277,1098,1,240.66
CUST00278,1108,1,639.56
CUST00279,585,1,326.69
CUST00280,1802,1,486.54
CUST00281,449,1,298.27
CUST00282,568,1,528.48
CUST00283,385,1,609.74
CUST00284,1295,1,299.96
CUST00285,1460,1,319.36
CUST00286,1063,1,811.57
CUST00287,1753,1,175.38
CUST00288,1669,1,435.49
CUST00289,518,1,240.92
CUST00290,1134,1,591.01
CUST00291,660,1,227.55
CUST00292,1500,1,438.22
CUST00293,1693,1,857.43
CUST00294,514,1,681.23
CUST00295,1460,1,310.88
CUST00296,1100,1,622.06
CUST00297,1592,1,965.08
CUST00298,1380,1,854.01
CUST00299,1507,1,778.43
CUST00300,1603,1,414.91
CUST00301,1028,1,603.88
CUST00302,449,1,469.08
CUST00303,579,1,444.09
CUST00304,808,1,697.07
CUST00305,1685,1,708.18
CUST00306,435,1,637.44
CUST00307,1307,1,907.38
CUST00308,1089,1,534.64
CUST00309,1359,1,697.64
CUST00310,824,1,146.58
CUST00311,1227,1,608.29
CUST00312,1104,1,667.21
CUST00313,945,1,518.85
CUST00314,1702,1,112.36
CUST00315,1491,1,967.47
CUST00316,1588,1,158.14
CUST00317,673,1,916.3
CUST00318,1662,1,356.77
CUST00319,830,1,903.39
CUST00320,839,1,458.6
CUST00321,849,1,532.51
CUST00322,1050,1,710.45
CUST00323,563,1,136.7
CUST00324,1602,1,146.26
CUST00325,478,1,310.98
CUST00326,921,1,162.24
CUST00327,836,1,873.18
CUST00328,713,1,472.99
CUST00329,1275,1,537.94
CUST00330,950,1,962.66
CUST00331,1615,1,291.02
CUST00332,390,1,615.97
CUST00333,1063,1,471.16
CUST00334,890,1,701.03
CUST00335,1803,1,313.97
CUST00336,1029,1,485.1
CUST00337,988,1,868.79
CUST00338,1174,1,333.23
CUST00339,504,1,870.14
CUST00340,779,1,838.13
CUST00341,1511,1,248.67
CUST00342,511,1,882.16
CUST00343,1742,1,381.76
CUST00344,1166,1,489.63
CUST00345,1035,1,234.98
CUST00346,504,1,842.35
CUST00347,1449,1,33.26
CUST00348,1481,1,243.66
CUST00349,661,1,978.25
CUST00350,1645,1,661.1
CUST00351,593,1,544.03
CUST00352,482,1,565.43
CUST00353,973,1,958.04
CUST00354,390,1,386.42
CUST00355,1346,1,548.12
CUST00356,1523,1,989.17
CUST00357,937,1,288.21
CUST00358,401,1,180.58
CUST00359,971,1,536.8
CUST00360,1543,1,979.64
CUST00361,1365,1,173.13
CUST00362,1516,1,965.59
CUST00363,948,1,959.45
CUST00364,1254,1,594.51
CUST00365,1145,1,244.04
CUST00366,1237,1,906.9
CUST00367,1235,1,431.89
CUST00368,1748,1,557.52
CUST00369,1724,1,808.57
CUST00370,950,1,827.38
CUST00371,1659,1,708.55
CUST00372,1536,1,288.2
CUST00373,555,1,529.5
CUST00374,1008,1,325.18
CUST00375,501,1,121.48
CUST00376,584,1,244.46
CUST00377,815,1,794.77
CUST00378,594,1,468.11
CUST00379,590,1,195.72
CUST00380,975,1,653.97
CUST00381,668,1,822.9
CUST00382,1564,1,960.3
CUST00383,833,1,284.79
CUST00384,1112,1,663.54
CUST00385,1805,1,89.4
CUST00386,541,1,511.31
CUST00387,984,1,617.78
CUST00388,1501,1,401.5
CUST00389,1528,1,416.12
CUST00390,603,1,975.37
CUST00391,1218,1,355.75
CUST00392,1365,1,850.93
CUST00393,1288,1,545.6
CUST00394,1398,1,83.93
CUST00395,656,1,607.04
CUST00396,1086,1,65.97
CUST00397,1430,1,756.84
CUST00398,1128,1,848.22
CUST00399,1750,1,705.15
CUST00400,790,1,354.77
CUST00401,1144,1,270.26
CUST00402,1638,1,779.59
CUST00403,858,1,366.88
CUST00404,1453,1,472.08
CUST00405,1465,1,141.85
CUST00406,1624,1,639.02
CUST00407,1037,1,243.69
CUST00408,1707,1,383.92
CUST00409,1072,1,149.05
CUST00410,574,1,327.93
CUST00411,1410,1,276.16
CUST00412,594,1,627.68
CUST00413,412,1,26.14
CUST00414,755,1,482.92
CUST00415,1655,1,912.51
CUST00416,1132,1,785.58
CUST00417,1058,1,980.88
CUST00418,1106,1,283.44
CUST00419,909,1,345.34
CUST00420,474,1,607.81
CUST00421,976,1,652.4
CUST00422,1097,1,647.9
CUST00423,1474,1,591.16
CUST00424,696,1,652.03
CUST00425,1538,1,496.24
CUST00426,772,1,29.73
CUST00427,875,1,842.7
CUST00428,1597,1,686.77
CUST00429,1025,1,342.32
CUST00430,494,1,311.58
CUST00431,1343,1,151.11
CUST00432,1318,1,768.6
CUST00433,1687,1,393.04
CUST00434,1023,1,642.56
CUST00435,1675,1,855.24
CUST00436,1585,1,73.9
CUST00437,1529,1,234.53
CUST00438,1327,1,120.52
CUST00439,1561,1,794.51
CUST00440,637,1,565.24
CUST00441,1119,1,416.04
CUST00442,1357,1,254.62
CUST00443,848,1,337.56
CUST00444,829,1,503.54
CUST00445,1663,1,769.17
CUST00446,1628,1,71.37
CUST00447,1168,1,375.31
CUST00448,1664,1,269.77
CUST00449,1230,1,690.62
CUST00450,1189,1,631.28
CUST00451,1663,1,61.73
CUST00452,983,1,976.08
CUST00453,1678,1,330.59
CUST00454,959,1,317.06
CUST00455,434,1,406.71
CUST00456,1817,1,425.22
CUST00457,584,1,325.85
CUST00458,1174,1,613.84
CUST00459,557,1,266.6
CUST00460,1720,1,399.69
CUST00461,927,1,290.87
CUST00462,1480,1,242.66
CUST00463,817,1,247.83
CUST00464,1677,1,538.98
CUST00465,972,1,521.06
CUST00466,1132,1,510.59
CUST00467,1205,1,581.57
CUST00468,444,1,208.52
CUST00469,1377,1,551.72
CUST00470,1420,1,299.57
CUST00471,996,1,418.88
CUST00472,477,1,539.84
CUST00473,594,1,22.1
CUST00474,1563,1,430.41
CUST00475,963,1,194.19
CUST00476,650,1,502.29
CUST00477,1698,1,500.84
CUST00478,1499,1,797.59
CUST00479,697,1,491.31
CUST00480,384,1,675.19
CUST00481,1139,1,705.02
CUST00482,1471,1,247.2
CUST00483,1315,1,92.73
CUST00484,635,1,772.24
CUST00485,1383,1,950.1
CUST00486,813,1,792.27
CUST00487,1377,1,47.67
CUST00488,1629,1,410.26
CUST00489,580,1,456.93
CUST00490,423,1,504.21
CUST00491,745,1,467.74
CUST00492,1639,1,551.57
CUST00493,1310,1,290.97
CUST00494,1296,1,663.2
CUST00495,702,1,287.51
CUST00496,1516,1,149.05
CUST00497,1142,1,834.38
CUST00498,624,1,225.96
CUST00499,1418,1,603.88
CUST00500,1593,1,469.3
CUST00501,584,1,29.95
CUST00502,1458,1,855.44
CUST00503,930,1,798.85
CUST00504,1119,1,833.06
CUST00505,1347,1,550.23
CUST00506,1374,1,107.63
CUST00507,1650,1,828.67
CUST00508,1509,1,174.93
CUST00509,748,1,344.53
CUST00510,516,1,361.6
CUST00511,1457,1,658.03
CUST00512,1569,1,718.7
CUST00513,1820,1,171.2
CUST00514,1643,1,725.01
CUST00515,1676,1,250.73
CUST00516,680,1,919.22
CUST00517,1291,1,293.78
CUST00518,807,1,65.03
CUST00519,1171,1,77.72
CUST00520,899,1,955.21
CUST00521,884,1,91.95
CUST00522,695,1,448.55
CUST00523,663,1,147.22
CUST00524,1726,1,846.75
CUST00525,1734,1,607.1
CUST00526,1489,1,569.18
CUST00527,1639,1,644.05
CUST00528,898,1,593
CUST00529,702,1,519.26
CUST00530,921,1,751.26
CUST00531,792,1,673.2
CUST00533,1611,1,593.11
CUST00534,1500,1,570.59
CUST00535,1425,1,915.99
CUST00536,931,1,484.5
CUST00537,1657,1,520.44
CUST00538,1587,1,472.98
CUST00539,1532,1,770.28
CUST00540,1750,1,72.88
CUST00541,1681,1,682.54
CUST00542,1176,1,965.09
CUST00543,671,1,431.61
CUST00544,707,1,324.89
CUST00545,1691,1,456.33
CUST00546,1075,1,623.37
CUST00547,867,1,453.67
CUST00548,1006,1,308.78
